qntPrv,qntClss,qntSrvs,tempo
1,1,1,0.0012688636779785156
1,1,5,0.0038819313049316406
1,1,10,0.014823198318481445
1,1,25,0.0032694339752197266
1,1,50,0.002138376235961914
1,2,1,0.025445938110351562
1,2,5,0.00809025764465332
1,2,10,0.011796712875366211
1,2,25,0.013725996017456055
1,2,50,0.006270170211791992
1,3,1,0.011265039443969727
1,3,5,0.002087116241455078
1,3,10,0.002124309539794922
1,3,25,0.007303476333618164
1,3,50,0.05678439140319824
1,4,1,0.01699209213256836
1,4,5,0.008037567138671875
1,4,10,0.0028972625732421875
1,4,25,0.034957170486450195
1,4,50,0.004102945327758789
1,5,1,0.02929377555847168
1,5,5,0.07558608055114746
1,5,10,0.01864027976989746
1,5,25,0.008101701736450195
1,5,50,0.011478424072265625
1,6,1,0.03333592414855957
1,6,5,0.016711950302124023
1,6,10,0.02144145965576172
1,6,25,0.05791831016540527
1,6,50,0.01939868927001953
1,7,1,0.012085437774658203
1,7,5,0.013495206832885742
1,7,10,0.023576736450195312
1,7,25,0.0027952194213867188
1,7,50,0.03472638130187988
1,8,1,0.022745370864868164
1,8,5,0.01718282699584961
1,8,10,0.01915740966796875
1,8,25,0.008578300476074219
1,8,50,0.006681680679321289
1,9,1,0.026469707489013672
1,9,5,0.08186960220336914
1,9,10,0.0038712024688720703
1,9,25,0.013671636581420898
1,9,50,0.08403348922729492
1,10,1,0.04338979721069336
1,10,5,0.016632556915283203
1,10,10,0.015739917755126953
1,10,25,0.025745868682861328
1,10,50,0.027069091796875
5,1,1,0.002804279327392578
5,1,5,0.002180814743041992
5,1,10,0.007120847702026367
5,1,25,0.035279273986816406
5,1,50,0.0029671192169189453
5,2,1,0.03391313552856445
5,2,5,0.07244372367858887
5,2,10,0.031447410583496094
5,2,25,0.0072782039642333984
5,2,50,0.008510589599609375
5,3,1,0.045914649963378906
5,3,5,0.02262091636657715
5,3,10,0.028891563415527344
5,3,25,0.04024243354797363
5,3,50,0.030092954635620117
5,4,1,0.05338740348815918
5,4,5,0.031218528747558594
5,4,10,0.13004183769226074
5,4,25,0.06594514846801758
5,4,50,0.08307743072509766
5,5,1,0.06567502021789551
5,5,5,0.08614230155944824
5,5,10,0.031815290451049805
5,5,25,0.13309931755065918
5,5,50,0.05452275276184082
5,6,1,0.13497686386108398
5,6,5,0.059782981872558594
5,6,10,0.06693267822265625
5,6,25,0.1446375846862793
5,6,50,0.0809333324432373
5,7,1,0.08239507675170898
5,7,5,0.062026262283325195
5,7,10,0.17303109169006348
5,7,25,0.05037498474121094
5,7,50,0.10712099075317383
5,8,1,0.12498784065246582
5,8,5,0.05292367935180664
5,8,10,0.07102036476135254
5,8,25,0.12689900398254395
5,8,50,0.1871955394744873
5,9,1,0.16122913360595703
5,9,5,0.1131277084350586
5,9,10,0.09896183013916016
5,9,25,0.0952606201171875
5,9,50,0.03734993934631348
5,10,1,0.14984798431396484
5,10,5,0.0987544059753418
5,10,10,0.09865283966064453
5,10,25,0.09740877151489258
5,10,50,0.0326693058013916
10,1,1,0.03663372993469238
10,1,5,0.013012886047363281
10,1,10,0.01198887825012207
10,1,25,0.03744244575500488
10,1,50,0.004431009292602539
10,2,1,0.05067181587219238
10,2,5,0.06711030006408691
10,2,10,0.022077322006225586
10,2,25,0.11001086235046387
10,2,50,0.044155120849609375
10,3,1,0.03884148597717285
10,3,5,0.054894208908081055
10,3,10,0.046396493911743164
10,3,25,0.18486523628234863
10,3,50,0.04973340034484863
10,4,1,0.09682750701904297
10,4,5,0.11332225799560547
10,4,10,0.05437660217285156
10,4,25,0.08251810073852539
10,4,50,0.09162425994873047
10,5,1,0.161332368850708
10,5,5,0.10320615768432617
10,5,10,0.08252644538879395
10,5,25,0.12121033668518066
10,5,50,0.11445879936218262
10,6,1,0.1201026439666748
10,6,5,0.14272737503051758
10,6,10,0.05343055725097656
10,6,25,0.1300346851348877
10,6,50,0.17653965950012207
10,7,1,0.19636154174804688
10,7,5,0.14655327796936035
10,7,10,0.10765671730041504
10,7,25,0.1487588882446289
10,7,50,0.19835162162780762
10,8,1,0.2731609344482422
10,8,5,0.13122153282165527
10,8,10,0.19411849975585938
10,8,25,0.13277626037597656
10,8,50,0.31104087829589844
10,9,1,0.2971940040588379
10,9,5,0.2093639373779297
10,9,10,0.2574286460876465
10,9,25,0.23709583282470703
10,9,50,0.24053525924682617
10,10,1,0.2729678153991699
10,10,5,0.22823071479797363
10,10,10,0.26253628730773926
10,10,25,0.4006531238555908
10,10,50,0.1430654525756836
25,1,1,0.0734717845916748
25,1,5,0.052224159240722656
25,1,10,0.012678146362304688
25,1,25,0.017004728317260742
25,1,50,0.11075949668884277
25,2,1,0.04616904258728027
25,2,5,0.0732429027557373
25,2,10,0.09091830253601074
25,2,25,0.23626494407653809
25,2,50,0.2305154800415039
25,3,1,0.15522003173828125
25,3,5,0.1902012825012207
25,3,10,0.2651560306549072
25,3,25,0.07396554946899414
25,3,50,0.10864520072937012
25,4,1,0.3523292541503906
25,4,5,0.38643574714660645
25,4,10,0.2379591464996338
25,4,25,0.2630281448364258
25,4,50,0.4029369354248047
25,5,1,0.41776418685913086
25,5,5,0.28632092475891113
25,5,10,0.32763099670410156
25,5,25,0.3599207401275635
25,5,50,0.27587175369262695
25,6,1,0.5676436424255371
25,6,5,0.2575972080230713
25,6,10,0.4560117721557617
25,6,25,0.5612366199493408
25,6,50,0.5971183776855469
25,7,1,0.5392098426818848
25,7,5,0.3665032386779785
25,7,10,0.42513346672058105
25,7,25,0.6436889171600342
25,7,50,0.20066595077514648
25,8,1,0.5902671813964844
25,8,5,0.44967103004455566
25,8,10,0.5288448333740234
25,8,25,0.5979764461517334
25,8,50,0.6128628253936768
25,9,1,0.6464800834655762
25,9,5,0.38663244247436523
25,9,10,0.5908365249633789
25,9,25,0.3560607433319092
25,9,50,0.7945873737335205
25,10,1,0.5954465866088867
25,10,5,0.42656779289245605
25,10,10,0.5711081027984619
25,10,25,0.7278683185577393
25,10,50,0.5567772388458252
50,1,1,0.07878327369689941
50,1,5,0.022127151489257812
50,1,10,0.19544291496276855
50,1,25,0.17808175086975098
50,1,50,0.24296855926513672
50,2,1,0.46128034591674805
50,2,5,0.21301865577697754
50,2,10,0.4676992893218994
50,2,25,0.3298056125640869
